Neighborhood,Borough,Two-Bedroom Median Rent,Median Household Income,Income % of Median Rent,Income Required to Lease (40X Rule)
Windsor Terrace,Brooklyn,"$2,875.00","$82,297",41.92%,"$115,000"
Turtle Bay-East Midtown,Manhattan,"$3,967.00","$113,998",41.76%,"$158,680"
South Ozone Park,Queens,"$2,000.00","$57,849",41.49%,"$80,000"
Midtown-Midtown South,Manhattan,"$3,950.00","$114,491",41.4%,"$158,000"
Lenox Hill-Roosevelt Island,Manhattan,"$3,395.00","$98,797",41.24%,"$135,800"
Woodhaven,Queens,"$2,100.00","$61,804",40.77%,"$84,000"
Auburndale,Queens,"$2,400.00","$70,772",40.69%,"$96,000"
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,"$2,500.00","$74,718",40.15%,"$100,000"
Kew Gardens Hills,Queens,"$2,050.00","$61,348",40.1%,"$82,000"
Yorkville,Manhattan,"$3,250.00","$98,840",39.46%,"$130,000"
Schuylerville-Throgs Neck-Edgewater Park,Bronx,"$2,200.00","$67,549",39.08%,"$88,000"
Canarsie,Brooklyn,"$1,937.50","$60,766",38.26%,"$77,500"
Glendale,Queens,"$2,000.00","$64,178",37.4%,"$80,000"
Ozone Park,Queens,"$2,000.00","$65,786",36.48%,"$80,000"
Flatlands,Brooklyn,"$1,925.00","$64,519",35.8%,"$77,000"
Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,"$2,150.00","$72,158",35.75%,"$86,000"
Park Slope-Gowanus,Brooklyn,"$3,000.00","$101,784",35.37%,"$120,000"
Middle Village,Queens,"$2,000.00","$69,763",34.4%,"$80,000"
Douglas Manor-Douglaston-Little Neck,Queens,"$2,350.00","$83,749",33.67%,"$94,000"
Fresh Meadows-Utopia,Queens,"$1,950.00","$69,525",33.66%,"$78,000"
Bayside-Bayside Hills,Queens,"$2,176.00","$79,120",33%,"$87,040"
New Dorp-Midland Beach,Staten Island,"$1,900.00","$78,100",29.19%,"$76,000"
Whitestone,Queens,"$1,950.00","$80,546",29.05%,"$78,000"
Great Kills,Staten Island,"$2,050.00","$88,868",27.68%,"$82,000"
Upper East Side-Carnegie Hill,Manhattan,"$3,555.00","$155,213",27.48%,"$142,200"
